pub_nbr,app_year,sim_occ
62098,1981,818
54136,1981,812
55351,1981,215
50858,1981,713
55363,1981,813
54157,1981,311
54706,1981,812
54706,1981,812
52791,1981,812
52791,1981,812
54737,1981,251
51851,1981,334
51851,1981,818
52829,1981,814
52829,1981,813
57272,1981,814
53402,1981,212
53402,1981,212
53840,1981,812
54891,1981,713
82213,1981,712
55478,1981,812
55478,1981,812
33174,1981,818
33175,1981,818
34396,1981,812
34396,1981,812
35313,1981,818
45993,1981,814
48061,1981,812
51333,1981,818
53852,1981,812
53852,1981,812
54319,1981,818
54319,1981,818
54320,1981,818
54320,1981,812
54339,1981,818
32788,1981,818
32788,1981,818
32788,1981,251
32445,1981,813
32463,1981,812
56885,1981,818
58260,1981,818
58261,1981,711
35346,1981,818
35906,1981,721
35906,1981,721
35906,1981,721
36323,1981,812
36780,1981,311
36780,1981,813
36784,1981,812
36784,1981,812
36784,1981,812
38723,1981,816
38723,1981,816
41773,1981,813
41773,1981,818
65045,1981,818
65048,1981,812
65048,1981,812
42306,1981,813
42308,1981,334
43227,1981,812
43259,1981,812
69179,1981,212
45149,1981,721
45149,1981,721
45195,1981,812
45195,1981,812
45202,1981,818
46043,1981,818
46043,1981,818
46066,1981,816
46066,1981,816
46370,1981,818
46370,1981,818
47084,1981,818
47084,1981,818
47087,1981,818
47140,1981,742
47140,1981,742
47144,1981,818
47144,1981,818
48109,1981,815
48109,1981,213
47633,1981,814
47641,1981,812
47641,1981,812
47641,1981,812
50415,1981,812
50925,1981,812
49634,1981,818
49634,1981,818
49994,1981,816
51932,1981,812
51932,1981,812
51941,1981,816
51959,1981,313
51449,1981,813
51449,1981,813
51980,1981,812
53458,1981,818
53458,1981,818
54403,1981,812
54403,1981,812
60363,1981,812
60363,1981,812
55937,1981,313
55937,1981,812
33258,1981,814
34547,1981,812
36371,1981,817
38238,1981,813
41455,1981,818
42773,1981,818
42346,1981,813
45676,1981,812
46100,1981,211
46122,1981,812
48207,1981,813
55638,1981,814
52056,1981,812
52056,1981,812
52569,1981,721
38769,1981,818
49677,1981,817
47223,1981,812
32882,1981,311
32882,1981,311
38321,1981,818
48706,1981,818
47732,1981,812
41976,1980,813
41553,1980,817
51063,1981,813
45789,1981,622
54549,1981,251
48255,1981,812
49286,1981,812
51621,1981,812
79882,1981,712
55720,1981,818
58684,1981,751
62079,1981,215
62079,1981,818
76353,1982,816
57402,1982,818
57402,1982,818
60975,1982,212
61567,1982,731
62737,1982,814
59342,1982,215
58426,1982,817
59464,1982,818
56663,1978,818
60487,1982,732
60487,1982,732
80007,1982,814
62289,1982,732
62847,1982,818
62847,1982,818
64186,1982,818
80549,1982,816
66112,1982,818
66112,1982,211
66787,1982,812
66787,1982,331
67453,1982,814
67453,1982,814
69891,1982,818
69891,1982,818
70454,1982,812
70454,1982,818
69992,1982,812
70509,1982,818
70509,1982,251
70509,1982,251
70546,1982,815
71181,1982,311
71196,1982,711
71905,1982,818
71905,1982,818
72565,1982,812
73417,1982,812
73425,1982,818
73425,1982,818
74016,1982,818
74016,1982,818
77914,1982,818
75902,1982,812
76455,1982,812
91985,1982,215
76484,1982,812
76496,1982,721
76496,1982,814
78915,1982,814
99423,1982,512
80078,1979,211
80078,1979,211
78541,1982,818
78541,1982,818
79062,1982,721
80095,1982,812
81766,1982,813
81211,1982,813
81211,1982,813
82378,1982,818
85189,1982,712
57486,1982,812
57486,1982,818
57960,1982,812
57960,1982,812
61222,1982,311
62961,1982,818
62961,1982,818
66315,1982,815
66315,1982,815
69404,1982,818
69404,1982,818
70580,1982,812
70580,1982,812
68559,1982,814
70069,1982,812
72598,1982,818
81871,1982,818
83819,1982,818
58542,1982,818
58542,1982,818
58543,1982,812
58543,1982,812
62399,1982,818
62399,1982,818
59581,1982,815
91998,1982,812
61269,1982,818
61269,1982,814
61909,1982,812
61916,1982,831
61916,1982,831
62471,1982,311
62471,1982,251
61923,1982,251
61923,1982,251
62481,1982,754
62481,1982,754
66396,1982,816
66396,1982,816
69453,1982,721
94996,1982,818
67567,1982,812
66454,1982,754
66454,1982,754
82584,1982,818
77601,1982,812
70102,1982,311
70102,1982,311
67722,1982,812
67722,1982,815
68776,1982,812
68776,1982,812
70682,1982,812
70682,1982,251
70710,1982,812
70710,1982,812
71396,1982,818
71406,1982,818
71406,1982,818
73576,1982,811
73639,1982,818
75406,1982,311
75464,1982,712
75464,1982,818
76081,1982,818
76155,1982,413
76155,1982,413
77651,1982,813
79762,1982,731
79787,1982,818
79789,1982,818
79789,1982,818
79790,1982,311
79790,1982,812
80342,1982,812
85810,1982,816
70206,1982,814
65902,1982,818
66490,1982,818
69641,1982,814
73714,1982,621
76732,1982,711
77702,1982,818
82068,1982,711
90902,1982,818
83263,1982,812
67778,1982,814
71550,1982,821
83548,1982,812
77751,1982,814
77291,1982,818
57669,1982,813
60813,1982,814
59690,1982,818
87549,1982,818
82825,1982,818
70817,1982,818
70817,1982,818
74938,1982,818
74938,1982,818
56797,1982,812
62027,1982,817
65971,1981,818
67860,1981,311
73836,1982,812
73836,1982,611
77780,1982,711
74993,1982,814
82852,1982,812
82176,1982,818
96035,1982,813
83645,1982,812
87479,1982,818
90009,1982,818
94399,1982,814
90847,1982,812
96056,1982,818
98342,1983,818
98342,1983,818
86366,1983,712
87600,1983,812
85430,1983,812
85990,1983,818
97762,1983,818
97762,1983,812
87776,1983,742
87776,1983,311
89026,1983,818
89583,1983,812
97767,1983,818
97767,1983,818
97772,1983,818
97772,1983,818
90429,1983,814
91626,1983,711
92697,1983,816
92251,1983,818
91136,1980,818
93967,1983,812
95135,1983,818
95135,1983,818
95187,1983,818
95187,1983,818
96413,1983,712
98404,1983,731
96866,1983,818
99517,1983,215
86506,1983,818
86022,1983,731
86022,1983,731
89093,1983,818
89093,1983,818
93461,1983,817
94106,1983,817
94106,1983,817
92872,1983,818
92872,1983,818
95807,1983,818
96939,1983,812
99155,1983,818
86076,1983,818
86076,1983,818
86655,1983,813
86666,1983,818
87955,1983,813
87955,1983,813
88602,1983,813
89225,1983,812
89225,1983,812
93513,1983,311
92925,1983,311
93514,1983,311
94204,1983,334
94204,1983,334
94224,1983,813
94224,1983,813
